"system_requirements",""
"description_short",""
"description_long",""
"description_image_features","Vlastnosti"
"description_image_performance","Výkon"
"screenshot_text_customization","Přizpůsobení pozadí"
"screenshot_text_performance","Mnoho možností vyladění výkonu"
"screenshot_text_images","Animace z vlastních obrázků"
"screenshot_text_tools","Spousta nástrojů k vytváření animací"
"screenshot_text_presets","Rychlé přidávání předvoleb a efektů"
"screenshot_text_effects",""
"additional_notes_recommended",""
"ssa_addendum",""
