"system_requirements","Le versioni N di Windows richiedono il Media Feature Pack di Microsoft. È necessario abilitare Aero su Windows 7. La modalità ad alto contrasto non è supportata. Risoluzione video massima per Windows 8, 10, 11: 4K, Windows 7: 1080p
"
"description_short","Usa incredibili sfondi dinamici sul tuo desktop. Anima le tue immagini per creare nuovi sfondi o importa video/siti web e condividili sul Workshop di Steam!"
"description_long",""
"description_image_features","Caratteristiche"
"description_image_performance","Prestazioni"
"screenshot_text_customization","Personalizza sfondi"
"screenshot_text_performance","Tante opzioni per ottimizzare le prestazioni"
"screenshot_text_images","Applica animazioni alle immagini"
"screenshot_text_tools","Tanti strumenti per creare animazioni"
"screenshot_text_presets","Aggiungi rapidamente gli effetti predefiniti"
"screenshot_text_effects",""
"additional_notes_recommended",""
"ssa_addendum",""
