"system_requirements",""
"description_short",""
"description_long",""
"description_image_features","Funkcje"
"description_image_performance","Wydajność"
"screenshot_text_customization","Dostosuj tapety"
"screenshot_text_performance","Wiele opcji służących do precyzyjnego dostrajania wydajności"
"screenshot_text_images","Animuj własne obrazy"
"screenshot_text_tools","Wiele narzędzi do tworzenia animacji"
"screenshot_text_presets","Szybko dodawaj wstępnie ustawione efekty"
"screenshot_text_effects",""
"additional_notes_recommended",""
"ssa_addendum",""
