system_requirements,"Versioner av Windows N kräver ""Media Feature Pack"" från Microsoft. Aero måste aktiveras på Windows 7. Högkontrastläge stöds inte. Maximal videoupplösning för Windows 8, 10: 4K, Windows 7: 1080p
"
description_short,Använd förbluffande levande bakgrunder på din dator. Animera dina egna bilder för att skapa nya bakgrunder eller importera videor/webbplatser och dela dem på Steam Workshop!
description_long,"Wallpaper Engine låter dig använda levande bakgrunder på din Windows-dator. Det stöder olika typer av animerade bakgrunder, inklusive 3D- och 2D-animeringar, webbplatser, videor och t.o.m. vissa program. Välj en befintlig bakgrund eller skapa din egen och dela den på Steam Workshop!

[img]{STEAM_APP_IMAGE}/extras/title_features.png[/img]

[list]
[*]Få liv i ditt skrivbord med realtidsgrafik, videor, program eller webbplatser.
[*]Anpassa animerade bakgrunder med dina favoritfärger.
[*]Använd interaktiva bakgrunder som kan kontrolleras med din mus.
[*]Stöd för många bildförhållanden och upplösningar, inklusive 16:9, 21:9, 16:10, 4:3.
[*]Stöd för miljöer med flera skärmar.
[*]Bakgrunder pausas när spel körs för att spara prestanda.
[*]Skapa dina egna animerade bakgrunder i Wallpaper Engines bakgrundsredigerare.
[*]Animera nya levande bakgrunder från vanliga bilder eller importera HTML- eller videofiler för bakgrunden.
[*]Använd Steam Workshop för att dela och ladda ned bakgrunder.
[*]Wallpaper Engine kan användas samtidigt med ett annat spel eller program från Steam.
[*]Videoformat som stöds: mp4, WebM, avi, m4v, mov, wmv (för lokala filer, Workshop tillåter endast mp4).
[*]Stöd för Corsair iCUE.
[/list]

[img]{STEAM_APP_IMAGE}/extras/title_performance.png[/img]
[h2][/h2]
Wallpaper Engine siktar mot att leverera en underhållande upplevelse och samtidigt använda så lite systemresurser som möjligt. Du kan välja att automatiskt pausa eller helt och hållet stoppa bakgrunden när du använder ett annat program eller spelar med helskärm (inklusive kantlöst fönsterläge) för att inte distrahera eller hindra dig när du spelar ett spel eller arbetar. Många alternativ låter dig justera kvaliteten och prestandan för att få Wallpaper Engine att passa din dator perfekt. En tumregel är att 3D-, 2D- och videobaserade skrivbordsbakgrunder kommer att prestera bäst, medan webbplatser och program kommer kräva mer resurser från din dator. Det rekommenderas starkt att ha en dedikerad grafikprocessor, men är inte nödvändigt.
[h2][/h2]
[img]{STEAM_APP_IMAGE}/extras/title_workshop.png[/img]
[h2][/h2]
Välj bland över 350 000 kostnadsfria bakgrunder från Steam Workshop med nya skrivbordsbakgrunder som laddas upp varje dag! Kan du inte hitta en bakgrund som passar ditt humör? Låt fantasin flöda med Wallpaper Engines bakgrundsredigerare för att skapa dina egna animerade bakgrunder från bilder, videor, webbplatser eller program. Ett stort urval förinställningar och effekter låter dig animera dina egna bilder och dela dem på Steam Workshop eller för att använda dem bara för dig själv."
description_image_features,Funktioner
description_image_performance,Prestanda
screenshot_text_customization,Anpassa bakgrunder
screenshot_text_performance,Många alternativ för att finjustera prestandan
screenshot_text_images,Animera dina egna bilder
screenshot_text_tools,Många verktyg för att skapa animeringar
screenshot_text_presets,Lägg snabbt till förinställda effekter
screenshot_text_effects,Bygg dina egna komplexa effekter 
