"system_requirements",""
"description_short",""
"description_long",""
"description_image_features","Özellikler"
"description_image_performance","Performans"
"screenshot_text_customization","Duvar kağıtlarını özelleştir"
"screenshot_text_performance","Performans ince ayarı yapmak için birçok seçenek"
"screenshot_text_images","Kendi resimlerinizi canlandırın"
"screenshot_text_tools","Animasyonlar oluşturmak için birçok araç"
"screenshot_text_presets","Ön ayarlı efektleri hızlıca ekleyin"
"screenshot_text_effects",""
"additional_notes_recommended",""
"ssa_addendum",""
