"system_requirements","Windows N 版本需要 Microsoft 提供的「Media Feature Pack」。Aero 必須在 Windows 7 上啟用。不支援高對比模式。Windows 8、10、11 的視訊最高解析度：4K，Windows 7 的視訊最高解析度：1080p
"
"description_short","在桌面上使用令人驚嘆的動態桌布。您可以自行製作動畫或匯入視訊/網站來創造新的桌布，並在 Steam Workshop 上與大家分享！"
"description_long",""
"description_image_features","功能"
"description_image_performance","效能"
"screenshot_text_customization","自訂桌布"
"screenshot_text_performance","多種效能微調選項"
"screenshot_text_images","讓您的圖像變為動畫"
"screenshot_text_tools","提供多種製作動畫的工具"
"screenshot_text_presets","快速新增預設效果"
"screenshot_text_effects","建立您獨特的複雜效果"
"additional_notes_recommended","行動應用程式需要 Android 8.1 或更新版本"
"ssa_addendum","您除了同意 Steam 訂戶協議所述的規定，亦同意 Steam 工作坊訂戶得將您的創作內容匯出並傳輸至相容的行動裝置。終端使用者如訂閱您的 Steam 工作坊提交內容，得在其個人行動裝置上使用您所提交的內容，作為桌布顯示。您同意您的工作坊提交內容得由個別的終端使用者於其使用的系統上修正並最佳化，以在前述行動裝置上取得技術相容性。"
